lambda0 k theta sigma alpha epsilon weight
1.24794 21651 5.81393e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26477 21651 5.81393e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26115 21651 5.81393e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26531 21651 5.81363e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25642 21651 5.81363e-05 0.357794 0.912372 0.85804 2.13722e-05
1.26747 21651 5.81363e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26254 21651 5.81388e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25401 21651 5.81388e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26153 21651 5.81388e-05 0.357794 0.912372 0.85804 6.68988e-05
1.23957 21651 5.81388e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26006 21645 5.81264e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25796 21645 5.81264e-05 0.357794 0.912372 0.85804 0.000176655
1.26063 21645 5.81225e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27853 21645 5.81225e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25849 21645 5.81225e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25547 21645 5.81264e-05 0.357794 0.912372 0.85804 0.000113059
1.25848 21645 5.81264e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25505 21645 5.81236e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26373 21645 5.81236e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25923 21645 5.81236e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26286 21645 5.81248e-05 0.357794 0.912372 0.85804 5.02485e-05
1.2574 21645 5.81248e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27858 21653 5.81299e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26558 21653 5.81299e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24926 21653 5.81299e-05 0.357794 0.912372 0.85804 5.76832e-05
1.2416 21653 5.81299e-05 0.357794 0.912372 0.85804 0.000113059
1.25744 21653 5.81299e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26354 21653 5.81365e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26841 21653 5.81365e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26512 21653 5.81365e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27404 21653 5.81365e-05 0.357794 0.912372 0.85804 5.02485e-05
1.24535 21653 5.81365e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26309 21653 5.8131e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26227 21653 5.8131e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25607 21653 5.8131e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25487 21653 5.8131e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25665 21653 5.81312e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26064 21653 5.81312e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24773 21653 5.81312e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26142 21653 5.81312e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24939 21653 5.81312e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25928 21663 5.81111e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27573 21663 5.81111e-05 0.357794 0.912372 0.85804 0.000176655
1.26364 21663 5.81111e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2457 21663 5.81111e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25273 21653 5.81204e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25087 21653 5.81204e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26369 21657 5.81241e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26362 21657 5.81241e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27648 21657 5.81241e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26735 21657 5.81241e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2602 21657 5.81241e-05 0.357794 0.912372 0.85804 9.34372e-05
1.27585 21657 5.81241e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25525 21657 5.81241e-05 0.357794 0.912372 0.85804 6.68988e-05
1.2552 21657 5.81241e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25066 21657 5.81241e-05 0.357794 0.912372 0.85804 2.82648e-05
1.2528 21657 5.81241e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27583 21657 5.81241e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27086 21657 5.81241e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24815 21657 5.81241e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25346 21657 5.81241e-05 0.357794 0.912372 0.85804 0.000113059
1.26284 21657 5.81241e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25923 21657 5.81241e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25964 21657 5.81241e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25894 21657 5.81241e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25072 21657 5.81241e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25365 21657 5.81241e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26584 21657 5.81241e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26086 21657 5.81241e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27078 21657 5.81241e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26321 21657 5.81241e-05 0.357794 0.912372 0.85804 2.82648e-05
1.2599 21657 5.81241e-05 0.357794 0.912372 0.85804 2.5637e-05
1.24137 21657 5.81241e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25454 21657 5.81241e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26018 21657 5.81241e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26521 21657 5.81241e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26184 21657 5.81241e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26154 21653 5.81222e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25987 21653 5.81222e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25416 21653 5.81222e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25143 21653 5.81222e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26801 21681 5.80338e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25217 21681 5.80338e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26192 21681 5.80338e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26206 21677 5.80554e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24535 21677 5.80554e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26272 21677 5.80554e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26572 21677 5.80554e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27018 21651 5.81411e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24516 21651 5.81411e-05 0.357794 0.912372 0.85804 5.76832e-05
1.24923 21651 5.81411e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26537 21651 5.81411e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27385 21651 5.81411e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26435 21653 5.81409e-05 0.357794 0.912372 0.85804 9.34372e-05
1.2655 21653 5.81409e-05 0.357794 0.912372 0.85804 0.000113059
1.24535 21653 5.81409e-05 0.357794 0.912372 0.85804 3.48948e-05
1.2614 21653 5.81409e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26001 21653 5.81409e-05 0.357794 0.912372 0.85804 1.67247e-05
1.25344 21653 5.81409e-05 0.357794 0.912372 0.85804 0.000139579
1.25271 21653 5.81409e-05 0.357794 0.912372 0.85804 7.85132e-05
1.24345 21653 5.81409e-05 0.357794 0.912372 0.85804 5.02485e-05
1.24963 21653 5.81409e-05 0.357794 0.912372 0.85804 9.34372e-05
1.24878 21653 5.81409e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26497 21653 5.81409e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25294 21653 5.81409e-05 0.357794 0.912372 0.85804 2.13722e-05
1.25724 21653 5.81409e-05 0.357794 0.912372 0.85804 0.000139579
1.25689 21661 5.80935e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26559 21661 5.80935e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26244 21661 5.80935e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26586 21657 5.81119e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26645 21657 5.81119e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25949 21655 5.81255e-05 0.357794 0.912372 0.85804 4.41637e-05
1.24813 21655 5.81255e-05 0.357794 0.912372 0.85804 4.41637e-05
1.23566 21655 5.81255e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26848 21663 5.81131e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26601 21663 5.81131e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25534 21663 5.81131e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27611 21663 5.81131e-05 0.357794 0.912372 0.85804 0.000176655
1.25601 21663 5.81131e-05 0.357794 0.912372 0.85804 2.5637e-05
1.2483 21663 5.81131e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25804 21663 5.81131e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26359 21663 5.81131e-05 0.357794 0.912372 0.85804 0.000113059
1.24654 21663 5.81131e-05 0.357794 0.912372 0.85804 0.000230733
1.25874 21663 5.81131e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26081 21663 5.81131e-05 0.357794 0.912372 0.85804 5.76832e-05
1.27005 21663 5.81131e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26311 21663 5.81131e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26416 21663 5.81131e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25745 21663 5.81131e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26521 21655 5.81311e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27002 21655 5.81311e-05 0.357794 0.912372 0.85804 0.000139579
1.26975 21655 5.81355e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25383 21655 5.81355e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26668 21655 5.81355e-05 0.357794 0.912372 0.85804 5.76832e-05
1.24117 21655 5.81322e-05 0.357794 0.912372 0.85804 1.80894e-05
1.26928 21655 5.81322e-05 0.357794 0.912372 0.85804 1.80894e-05
1.25793 21655 5.81322e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26481 21655 5.81322e-05 0.357794 0.912372 0.85804 1.80894e-05
1.2417 21655 5.81322e-05 0.357794 0.912372 0.85804 1.96283e-05
1.2727 21659 5.81256e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26869 21659 5.81256e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25653 21659 5.81256e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26653 21659 5.81256e-05 0.357794 0.912372 0.85804 5.76832e-05
1.24476 21659 5.81256e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26256 21655 5.81318e-05 0.357794 0.912372 0.85804 0.000113059
1.24436 21655 5.81318e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25881 21655 5.81318e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25544 21661 5.81294e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25712 21661 5.81294e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25149 21661 5.81294e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25001 21661 5.81294e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26105 21661 5.81294e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26096 21661 5.81294e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25088 21661 5.81294e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26887 21661 5.81294e-05 0.357794 0.912372 0.85804 2.33593e-05
1.24725 21661 5.81294e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24838 21661 5.81294e-05 0.357794 0.912372 0.85804 5.76832e-05
1.24092 21661 5.81294e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26038 21661 5.81294e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26746 21661 5.81294e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25716 21661 5.81294e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25556 21661 5.81294e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24727 21661 5.81294e-05 0.357794 0.912372 0.85804 3.13183e-05
1.2749 21661 5.81294e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25413 21661 5.81294e-05 0.357794 0.912372 0.85804 2.13722e-05
1.26483 21661 5.81294e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25235 21661 5.81294e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25959 21657 5.813e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25669 21657 5.813e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26105 21657 5.813e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26044 21657 5.813e-05 0.357794 0.912372 0.85804 2.82648e-05
1.263 21657 5.813e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26186 21657 5.813e-05 0.357794 0.912372 0.85804 6.68988e-05
1.24901 21657 5.81341e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25373 21657 5.81341e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26112 21657 5.81341e-05 0.357794 0.912372 0.85804 6.68988e-05
1.24442 21653 5.81404e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25609 21653 5.81404e-05 0.357794 0.912372 0.85804 4.41637e-05
1.24975 21653 5.81404e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27508 21653 5.81404e-05 0.357794 0.912372 0.85804 9.34372e-05
1.24353 21657 5.81335e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26696 21657 5.81335e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27154 21657 5.81335e-05 0.357794 0.912372 0.85804 2.82648e-05
1.2491 21657 5.81335e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25674 21657 5.81335e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26176 21657 5.81335e-05 0.357794 0.912372 0.85804 7.85132e-05
1.24733 21657 5.81335e-05 0.357794 0.912372 0.85804 0.000176655
1.24804 21657 5.81335e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24087 21657 5.81335e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25972 21657 5.81335e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24233 21657 5.81335e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26334 21657 5.81335e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26428 21657 5.81335e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25142 21657 5.81335e-05 0.357794 0.912372 0.85804 9.34372e-05
1.2632 21657 5.81335e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25508 21657 5.81335e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25695 21657 5.81335e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25666 21657 5.81335e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26763 21657 5.81335e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26575 21657 5.81335e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25747 21651 5.81378e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24491 21651 5.81378e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24677 21649 5.81197e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24729 21649 5.81197e-05 0.357794 0.912372 0.85804 0.000139579
1.25298 21649 5.81197e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25973 21649 5.81197e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25945 21653 5.81145e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27123 21653 5.81145e-05 0.357794 0.912372 0.85804 1.80894e-05
1.26165 21653 5.81145e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25349 21653 5.81145e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25945 21649 5.8113e-05 0.357794 0.912372 0.85804 1.96283e-05
1.24435 21649 5.8113e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25686 21649 5.8113e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26161 21649 5.8113e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26086 21651 5.81052e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25851 21651 5.81052e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25719 21651 5.81052e-05 0.357794 0.912372 0.85804 5.76832e-05
1.24667 21651 5.81052e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25893 21651 5.81052e-05 0.357794 0.912372 0.85804 2.13722e-05
1.26013 21651 5.81052e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24649 21651 5.81052e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26636 21651 5.81052e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26451 21651 5.81052e-05 0.357794 0.912372 0.85804 2.82648e-05
1.2552 21651 5.81052e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25421 21651 5.81052e-05 0.357794 0.912372 0.85804 4.41637e-05
1.24678 21651 5.81052e-05 0.357794 0.912372 0.85804 4.41637e-05
1.24951 21651 5.81052e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25642 21651 5.81052e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26192 21651 5.81052e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25074 21651 5.81052e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26122 21651 5.81052e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25492 21651 5.81052e-05 0.357794 0.912372 0.85804 3.48948e-05
1.2641 21651 5.81052e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25023 21651 5.81052e-05 0.357794 0.912372 0.85804 2.13722e-05
1.24855 21651 5.81052e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26205 21651 5.81052e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26544 21651 5.81052e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25924 21647 5.8123e-05 0.357794 0.912372 0.85804 5.76832e-05
1.2666 21647 5.8123e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26273 21647 5.81222e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26079 21647 5.81222e-05 0.357794 0.912372 0.85804 3.48948e-05
1.2483 21647 5.81222e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26563 21649 5.81301e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25531 21649 5.81301e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25492 21649 5.81301e-05 0.357794 0.912372 0.85804 0.000113059
1.26855 21647 5.81242e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26106 21647 5.81242e-05 0.357794 0.912372 0.85804 3.13183e-05
1.2498 21653 5.80963e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25408 21653 5.80963e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26382 21649 5.8137e-05 0.357794 0.912372 0.85804 6.68988e-05
1.2536 21649 5.8137e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26671 21651 5.81341e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24772 21651 5.81341e-05 0.357794 0.912372 0.85804 4.41637e-05
1.24235 21651 5.81341e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25088 21651 5.81341e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25348 21651 5.81341e-05 0.357794 0.912372 0.85804 2.33593e-05
1.2548 21651 5.81341e-05 0.357794 0.912372 0.85804 2.13722e-05
1.25767 21651 5.81341e-05 0.357794 0.912372 0.85804 6.68988e-05
1.25041 21651 5.81341e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25096 21651 5.81341e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25417 21651 5.81329e-05 0.357794 0.912372 0.85804 2.13722e-05
1.25244 21651 5.81329e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26199 21651 5.81329e-05 0.357794 0.912372 0.85804 2.33593e-05
1.24919 21651 5.81329e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24281 21651 5.81329e-05 0.357794 0.912372 0.85804 1.44208e-05
1.26813 21651 5.81329e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25559 21651 5.81329e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25349 21651 5.81329e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25568 21653 5.81417e-05 0.357794 0.912372 0.85804 1.80894e-05
1.2672 21653 5.81417e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24322 21653 5.81417e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26749 21653 5.81417e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25038 21653 5.81379e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25861 21653 5.81379e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26232 21653 5.81409e-05 0.357794 0.912372 0.85804 4.41637e-05
1.24973 21653 5.81409e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25071 21653 5.81409e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25706 21653 5.81378e-05 0.357794 0.912372 0.85804 4.41637e-05
1.24678 21653 5.81378e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25422 21653 5.81378e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25772 21653 5.81358e-05 0.357794 0.912372 0.85804 1.96283e-05
1.24001 21653 5.81358e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25383 21653 5.81358e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26318 21647 5.81432e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25983 21647 5.81432e-05 0.357794 0.912372 0.85804 7.85132e-05
1.24655 21647 5.81432e-05 0.357794 0.912372 0.85804 0.000113059
1.25626 21647 5.81432e-05 0.357794 0.912372 0.85804 1.80894e-05
1.2629 21647 5.81442e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24906 21647 5.81442e-05 0.357794 0.912372 0.85804 3.91208e-05
1.27729 21647 5.81442e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26111 21647 5.81442e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26447 21647 5.81442e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26485 21647 5.81466e-05 0.357794 0.912372 0.85804 2.13722e-05
1.24439 21647 5.81466e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26498 21647 5.81466e-05 0.357794 0.912372 0.85804 2.5637e-05
1.2752 21647 5.81466e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26224 21677 5.80864e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25106 21677 5.80864e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26388 21677 5.80864e-05 0.357794 0.912372 0.85804 9.34372e-05
1.24331 21677 5.80864e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26376 21677 5.80864e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27163 21677 5.80864e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24453 21677 5.80864e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26266 21677 5.80864e-05 0.357794 0.912372 0.85804 7.85132e-05
1.2593 21677 5.80864e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25531 21677 5.80864e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26474 21677 5.80864e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27099 21677 5.80864e-05 0.357794 0.912372 0.85804 2.5637e-05
1.25909 21677 5.80864e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26503 21677 5.80864e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25783 21677 5.80864e-05 0.357794 0.912372 0.85804 2.5637e-05
1.24961 21677 5.80864e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27012 21677 5.80864e-05 0.357794 0.912372 0.85804 0.000113059
1.25095 21677 5.80864e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26558 21677 5.80864e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27383 21677 5.80864e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25888 21677 5.80864e-05 0.357794 0.912372 0.85804 5.76832e-05
1.2574 21677 5.80864e-05 0.357794 0.912372 0.85804 3.48948e-05
1.27244 21677 5.80864e-05 0.357794 0.912372 0.85804 2.33593e-05
1.26207 21677 5.80864e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27532 21677 5.80864e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26929 21677 5.80864e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25545 21677 5.80864e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25661 21677 5.80864e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26527 21677 5.80864e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25497 21677 5.80864e-05 0.357794 0.912372 0.85804 2.13722e-05
1.26185 21677 5.80864e-05 0.357794 0.912372 0.85804 7.85132e-05
1.26169 21677 5.80864e-05 0.357794 0.912372 0.85804 3.13183e-05
1.24555 21677 5.80864e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25895 21677 5.80864e-05 0.357794 0.912372 0.85804 1.96283e-05
1.26923 21677 5.80864e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26707 21677 5.80864e-05 0.357794 0.912372 0.85804 2.5637e-05
1.26951 21677 5.80864e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25551 21677 5.80864e-05 0.357794 0.912372 0.85804 5.02485e-05
1.27227 21677 5.80864e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26197 21677 5.80864e-05 0.357794 0.912372 0.85804 2.13722e-05
1.2424 21677 5.80864e-05 0.357794 0.912372 0.85804 9.34372e-05
1.2644 21677 5.80864e-05 0.357794 0.912372 0.85804 3.91208e-05
1.28571 21677 5.80864e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26694 21677 5.80864e-05 0.357794 0.912372 0.85804 4.41637e-05
1.27121 21677 5.80864e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26449 21677 5.80864e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25492 21677 5.80864e-05 0.357794 0.912372 0.85804 9.34372e-05
1.27563 21677 5.80864e-05 0.357794 0.912372 0.85804 1.80894e-05
1.26317 21677 5.80864e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25437 21677 5.80864e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26418 21653 5.81137e-05 0.357794 0.912372 0.85804 7.85132e-05
1.27397 21653 5.81137e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25196 21649 5.81212e-05 0.357794 0.912372 0.85804 0.000139579
1.23996 21649 5.81212e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24956 21649 5.81212e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26505 21649 5.81212e-05 0.357794 0.912372 0.85804 2.5637e-05
1.27387 21653 5.8141e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24884 21653 5.8141e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25657 21653 5.8141e-05 0.357794 0.912372 0.85804 5.76832e-05
1.26565 21653 5.8141e-05 0.357794 0.912372 0.85804 2.13722e-05
1.27034 21653 5.8141e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25419 21659 5.81398e-05 0.357794 0.912372 0.85804 1.80894e-05
1.2625 21659 5.81398e-05 0.357794 0.912372 0.85804 4.41637e-05
