lambda0 k theta sigma alpha epsilon weight
1.24685 22453 5.60434e-05 0.357794 0.912372 0.85804 6.68988e-05
1.2636 22453 5.60434e-05 0.357794 0.912372 0.85804 3.48948e-05
1.2528 22453 5.60441e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26987 22453 5.60441e-05 0.357794 0.912372 0.85804 3.13183e-05
1.25278 22453 5.60441e-05 0.357794 0.912372 0.85804 5.76832e-05
1.2589 22453 5.60441e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2642 22451 5.60394e-05 0.357794 0.912372 0.85804 3.91208e-05
1.2731 22451 5.60394e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26963 22451 5.60394e-05 0.357794 0.912372 0.85804 2.5637e-05
1.2549 22451 5.60394e-05 0.357794 0.912372 0.85804 3.48948e-05
1.243 22453 5.6033e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25303 22453 5.6033e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25853 22453 5.6033e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25628 22453 5.6033e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25384 22453 5.6033e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26713 22453 5.6033e-05 0.357794 0.912372 0.85804 3.13183e-05
1.2446 22453 5.6033e-05 0.357794 0.912372 0.85804 2.33593e-05
1.2771 22453 5.6033e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25195 22453 5.6033e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27273 22449 5.60476e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26425 22449 5.60476e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25951 22449 5.60476e-05 0.357794 0.912372 0.85804 2.13722e-05
1.2721 22449 5.60476e-05 0.357794 0.912372 0.85804 2.33593e-05
1.24759 22449 5.60394e-05 0.357794 0.912372 0.85804 2.13722e-05
1.24715 22449 5.60394e-05 0.357794 0.912372 0.85804 4.41637e-05
1.26435 22449 5.60394e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25894 22449 5.60394e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26385 22449 5.60426e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27116 22449 5.60426e-05 0.357794 0.912372 0.85804 3.13183e-05
1.27341 22449 5.60426e-05 0.357794 0.912372 0.85804 5.02485e-05
1.2518 22449 5.60426e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25085 22451 5.60456e-05 0.357794 0.912372 0.85804 3.91208e-05
1.25079 22451 5.60456e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26054 22451 5.60456e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26666 22451 5.60456e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25501 22451 5.60456e-05 0.357794 0.912372 0.85804 3.48948e-05
1.2561 22451 5.60456e-05 0.357794 0.912372 0.85804 3.91208e-05
1.28058 22451 5.60456e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26498 22451 5.60456e-05 0.357794 0.912372 0.85804 2.33593e-05
1.28 22451 5.60456e-05 0.357794 0.912372 0.85804 2.82648e-05
1.25378 22451 5.60456e-05 0.357794 0.912372 0.85804 3.48948e-05
1.24723 22451 5.60456e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26173 22425 5.60866e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26799 22425 5.60866e-05 0.357794 0.912372 0.85804 4.41637e-05
1.2713 22425 5.60866e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25267 22425 5.60866e-05 0.357794 0.912372 0.85804 3.91208e-05
1.26766 22425 5.60866e-05 0.357794 0.912372 0.85804 3.48948e-05
1.26655 22425 5.60814e-05 0.357794 0.912372 0.85804 0.000176655
1.25891 22425 5.60814e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25712 22425 5.60814e-05 0.357794 0.912372 0.85804 5.76832e-05
1.24697 22425 5.60814e-05 0.357794 0.912372 0.85804 0.000113059
1.27353 22425 5.60814e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25226 22425 5.60845e-05 0.357794 0.912372 0.85804 7.85132e-05
1.25609 22425 5.60845e-05 0.357794 0.912372 0.85804 2.33593e-05
1.24107 22425 5.60845e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25601 22425 5.60845e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25365 22425 5.60845e-05 0.357794 0.912372 0.85804 9.34372e-05
1.26163 22427 5.60737e-05 0.357794 0.912372 0.85804 5.02485e-05
1.26049 22427 5.60737e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25618 22427 5.60737e-05 0.357794 0.912372 0.85804 3.91208e-05
1.24794 22427 5.60737e-05 0.357794 0.912372 0.85804 2.33593e-05
1.25649 22427 5.60737e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25249 22427 5.60737e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25651 22427 5.60737e-05 0.357794 0.912372 0.85804 2.82648e-05
1.27122 22427 5.60737e-05 0.357794 0.912372 0.85804 2.13722e-05
1.24876 22427 5.60737e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25744 22427 5.60737e-05 0.357794 0.912372 0.85804 0.000139579
1.26777 22427 5.60737e-05 0.357794 0.912372 0.85804 3.48948e-05
1.25115 22427 5.60737e-05 0.357794 0.912372 0.85804 3.13183e-05
1.2581 22425 5.60756e-05 0.357794 0.912372 0.85804 6.68988e-05
1.26364 22425 5.60756e-05 0.357794 0.912372 0.85804 6.68988e-05
1.24939 22425 5.60756e-05 0.357794 0.912372 0.85804 5.76832e-05
1.25706 22425 5.60756e-05 0.357794 0.912372 0.85804 9.34372e-05
1.25226 22425 5.60756e-05 0.357794 0.912372 0.85804 5.76832e-05
1.24783 22425 5.60756e-05 0.357794 0.912372 0.85804 4.41637e-05
1.25539 22473 5.59539e-05 0.357794 0.912372 0.85804 0.000139579
1.26747 22305 5.65481e-05 0.357794 0.912372 0.85804 5.02485e-05
1.25266 22305 5.65481e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26425 22305 5.65481e-05 0.357794 0.912372 0.85804 5.02485e-05
1.258 22315 5.65763e-05 0.357794 0.912372 0.85804 3.13183e-05
1.26843 22315 5.65707e-05 0.357794 0.912372 0.85804 2.82648e-05
1.26366 22299 5.66529e-05 0.357794 0.912372 0.85804 3.48948e-05
