lambda,	weight
8.08234,	-11.6213
7.45962,	-11.7015
11.1299,	-11.3014
7.90266,	-11.6438
9.6787,	-11.4411
10.3636,	-11.3727
4.67424,	-12.1689
10.2826,	-11.3806
8.62063,	-11.5569
4.90743,	-12.1203
7.03122,	-11.7607
6.00398,	-11.9186
8.34524,	-11.5893
6.66233,	-11.8145
8.18584,	-11.6086
7.92397,	-11.6411
14.8797,	-11.011
4.29586,	-12.2534
8.68338,	-11.5496
6.51706,	-11.8366
11.3648,	-11.2805
7.12239,	-11.7478
9.34837,	-11.4758
11.2063,	-11.2945
5.26393,	-12.0501
7.08136,	-11.7535
15.8136,	-10.9501
11.4047,	-11.277
4.73513,	-12.156
7.09247,	-11.752
8.44603,	-11.5773
6.36969,	-11.8595
4.75623,	-12.1516
15.7742,	-10.9526
10.0473,	-11.4037
4.76852,	-12.149
10.5691,	-11.3531
4.59515,	-12.186
7.60812,	-11.6818
5.65316,	-11.9788
8.44206,	-11.5778
9.45345,	-11.4646
5.87499,	-11.9403
6.89126,	-11.7808
15.6108,	-10.9631
9.5284,	-11.4567
5.80926,	-11.9516
9.29031,	-11.482
7.54619,	-11.69
11.2178,	-11.2935
12.8831,	-11.1551
8.79605,	-11.5367
12.8652,	-11.1565
10.3222,	-11.3767
11.828,	-11.2405
3.96228,	-12.3342
13.0371,	-11.1432
7.0672,	-11.7556
13.5516,	-11.1045
11.1414,	-11.3003
8.13652,	-11.6147
6.15327,	-11.894
7.12244,	-11.7478
8.39872,	-11.5829
7.82478,	-11.6537
8.10303,	-11.6188
3.52155,	-12.4521
12.1806,	-11.2112
8.24386,	-11.6015
6.37218,	-11.8591
10.3928,	-11.3699
11.1526,	-11.2993
8.66173,	-11.5521
12.7578,	-11.1649
10.0731,	-11.4011
6.0562,	-11.9099
5.3102,	-12.0414
12.2958,	-11.2018
9.07394,	-11.5056
11.7167,	-11.25
6.87373,	-11.7833
9.384,	-11.472
15.1842,	-10.9908
8.64965,	-11.5535
9.38049,	-11.4724
6.35576,	-11.8617
10.1661,	-11.392
9.59035,	-11.4503
8.46668,	-11.5749
5.68163,	-11.9738
13.5012,	-11.1082
10.9332,	-11.3192
9.83545,	-11.425
10.8453,	-11.3273
11.7749,	-11.245
11.8827,	-11.2359
4.15428,	-12.2869
10.2058,	-11.3881
11.6536,	-11.2554
6.46885,	-11.844
15.3677,	-10.9787
7.83054,	-11.653
4.00715,	-12.3229
10.6018,	-11.35
5.98876,	-11.9211
7.7714,	-11.6606
9.73661,	-11.4351
6.81705,	-11.7916
7.32845,	-11.7193
8.4324,	-11.5789
3.82865,	-12.3685
14.6978,	-11.0233
4.55755,	-12.1942
10.1174,	-11.3968
12.9926,	-11.1466
9.5404,	-11.4555
10.0913,	-11.3993
10.3536,	-11.3737
12.5024,	-11.1851
7.65585,	-11.6755
10.7808,	-11.3333
6.17504,	-11.8905
13.7902,	-11.0871
8.18708,	-11.6085
10.4641,	-11.3631
17.1261,	-10.8704
7.17578,	-11.7403
13.5139,	-11.1073
9.83841,	-11.4247
9.39339,	-11.471
8.33106,	-11.591
10.2153,	-11.3871
11.1376,	-11.3007
14.2487,	-11.0544
9.96675,	-11.4118
7.00824,	-11.7639
8.65887,	-11.5524
8.83924,	-11.5318
8.54147,	-11.5661
6.2505,	-11.8784
6.70276,	-11.8085
8.31305,	-11.5932
16.4511,	-10.9106
7.36294,	-11.7146
6.59037,	-11.8254
8.94158,	-11.5203
10.7516,	-11.336
8.27537,	-11.5977
9.82379,	-11.4262
6.77917,	-11.7972
11.3248,	-11.284
9.11797,	-11.5008
5.33676,	-12.0364
8.71175,	-11.5463
14.0376,	-11.0693
7.18133,	-11.7395
12.3938,	-11.1938
13.9835,	-11.0731
6.43953,	-11.8486
10.4127,	-11.368
14.217,	-11.0566
9.16877,	-11.4952
10.3407,	-11.3749
14.0912,	-11.0655
8.38953,	-11.584
7.28896,	-11.7247
14.2267,	-11.0559
5.35014,	-12.0339
11.45,	-11.273
7.88702,	-11.6458
15.4857,	-10.9711
13.005,	-11.1457
7.01508,	-11.763
9.1803,	-11.494
10.2263,	-11.3861
9.54222,	-11.4553
11.2192,	-11.2934
5.29721,	-12.0438
7.38366,	-11.7117
9.55894,	-11.4535
17.482,	-10.8498
5.14966,	-12.0721
9.83246,	-11.4253
7.18533,	-11.739
11.5419,	-11.265
11.4677,	-11.2715
7.18984,	-11.7383
10.0087,	-11.4076
7.7401,	-11.6646
4.51147,	-12.2044
6.10653,	-11.9017
12.0878,	-11.2188
10.7831,	-11.333
6.0189,	-11.9161
13.7835,	-11.0875
10.8309,	-11.3286
8.53822,	-11.5665
9.25426,	-11.4859
8.04333,	-11.6262
6.70982,	-11.8074
8.61519,	-11.5575
10.224,	-11.3863
11.0259,	-11.3108
8.55848,	-11.5641
7.526,	-11.6927
5.79503,	-11.954
6.90539,	-11.7787
4.92792,	-12.1161
7.85123,	-11.6503
7.81728,	-11.6547
13.8378,	-11.0836
5.34077,	-12.0356
4.46112,	-12.2156
4.54916,	-12.1961
10.4611,	-11.3634
7.35606,	-11.7155
9.20524,	-11.4912
4.52253,	-12.2019
6.08841,	-11.9046
10.595,	-11.3506
6.82802,	-11.79
7.35664,	-11.7154
3.28898,	-12.5204
9.79028,	-11.4296
9.63422,	-11.4457
8.58501,	-11.561
10.862,	-11.3257
8.43597,	-11.5785
7.76127,	-11.6619
10.3219,	-11.3767
5.48774,	-12.0085
5.63978,	-11.9812
