lambda,	weight
5.81741,	-11.9502
7.89842,	-11.6444
6.90814,	-11.7783
11.0531,	-11.3083
9.62333,	-11.4468
9.4178,	-11.4684
9.81509,	-11.4271
8.34402,	-11.5895
6.34189,	-11.8638
8.80565,	-11.5356
3.42262,	-12.4806
10.2087,	-11.3878
9.04327,	-11.509
10.3698,	-11.3721
5.88238,	-11.9391
7.54595,	-11.69
11.1167,	-11.3026
8.39103,	-11.5839
7.72401,	-11.6667
9.32626,	-11.4782
6.51461,	-11.837
6.72706,	-11.8049
5.29366,	-12.0445
7.5901,	-11.6842
7.01016,	-11.7637
9.22546,	-11.489
10.9523,	-11.3175
8.45802,	-11.5759
5.20418,	-12.0616
14.6166,	-11.0289
8.60718,	-11.5584
8.6717,	-11.551
10.1599,	-11.3926
10.9261,	-11.3199
10.1953,	-11.3891
6.04091,	-11.9125
14.7033,	-11.0229
7.12864,	-11.7469
4.91789,	-12.1181
10.8065,	-11.3309
8.27707,	-11.5975
10.8771,	-11.3244
11.1278,	-11.3016
4.23418,	-12.2678
6.84484,	-11.7875
15.7604,	-10.9535
8.32542,	-11.5917
9.09519,	-11.5033
6.93494,	-11.7744
6.24583,	-11.8791
9.64673,	-11.4444
3.81584,	-12.3719
13.8916,	-11.0797
8.47356,	-11.5741
6.53855,	-11.8333
9.18103,	-11.4939
7.16589,	-11.7417
11.1571,	-11.2989
16.9176,	-10.8827
9.02029,	-11.5115
7.95371,	-11.6374
12.121,	-11.2161
7.45532,	-11.7021
7.53938,	-11.6909
6.41766,	-11.852
8.6625,	-11.552
6.97324,	-11.7689
7.60737,	-11.6819
13.3856,	-11.1168
8.05981,	-11.6241
14.7412,	-11.0204
13.5692,	-11.1032
10.227,	-11.386
11.3902,	-11.2783
11.526,	-11.2664
7.49871,	-11.6963
13.6359,	-11.0983
14.1578,	-11.0608
8.01398,	-11.6298
12.2157,	-11.2083
5.67328,	-11.9752
8.94557,	-11.5199
8.51009,	-11.5698
10.1526,	-11.3933
9.25537,	-11.4858
13.2219,	-11.1291
11.134,	-11.301
11.535,	-11.2656
8.17092,	-11.6104
11.9863,	-11.2273
6.11003,	-11.9011
11.0763,	-11.3062
8.91681,	-11.5231
6.16067,	-11.8928
6.349,	-11.8627
12.228,	-11.2073
6.73562,	-11.8036
9.61626,	-11.4476
7.50897,	-11.6949
5.17123,	-12.0679
13.6316,	-11.0986
10.8763,	-11.3244
12.7495,	-11.1655
13.6833,	-11.0948
6.0566,	-11.9099
9.24638,	-11.4868
10.0079,	-11.4076
8.99548,	-11.5143
8.1412,	-11.6141
6.58601,	-11.8261
12.8464,	-11.158
7.80687,	-11.656
7.52804,	-11.6924
12.7678,	-11.1641
7.31954,	-11.7205
8.69013,	-11.5488
10.185,	-11.3901
5.31059,	-12.0413
7.47667,	-11.6992
7.08891,	-11.7525
7.11087,	-11.7494
11.5179,	-11.2671
7.67264,	-11.6734
6.1038,	-11.9021
6.25946,	-11.8769
12.169,	-11.2121
8.17484,	-11.61
6.30462,	-11.8697
4.32487,	-12.2466
9.30308,	-11.4807
16.0061,	-10.938
10.3828,	-11.3709
5.72434,	-11.9663
9.5274,	-11.4568
6.02341,	-11.9154
9.89769,	-11.4187
6.91708,	-11.777
6.53207,	-11.8343
16.7726,	-10.8913
5.69468,	-11.9715
11.3228,	-11.2842
8.399,	-11.5829
6.2506,	-11.8783
9.70426,	-11.4385
8.11556,	-11.6172
7.6559,	-11.6755
15.467,	-10.9723
9.60565,	-11.4487
6.26376,	-11.8762
7.07898,	-11.7539
7.18314,	-11.7393
10.5058,	-11.3591
10.7859,	-11.3328
10.1488,	-11.3937
8.86498,	-11.5289
7.45403,	-11.7023
10.3956,	-11.3696
9.83289,	-11.4253
5.34791,	-12.0343
8.58249,	-11.5613
10.5109,	-11.3586
5.76037,	-11.96
4.68073,	-12.1676
9.78649,	-11.43
8.69544,	-11.5482
2.49033,	-12.7986
9.83919,	-11.4246
12.9976,	-11.1463
14.9742,	-11.0047
7.88944,	-11.6455
14.0168,	-11.0708
9.27053,	-11.4842
6.59139,	-11.8253
6.67489,	-11.8127
7.48243,	-11.6985
7.01252,	-11.7633
7.12919,	-11.7468
8.54087,	-11.5662
11.1677,	-11.298
7.47322,	-11.6997
8.75742,	-11.5411
10.2461,	-11.3841
11.0596,	-11.3077
8.64255,	-11.5543
10.5304,	-11.3567
8.67321,	-11.5508
11.1958,	-11.2955
11.2777,	-11.2882
9.66518,	-11.4425
10.5584,	-11.3541
11.438,	-11.2741
11.3082,	-11.2855
7.84752,	-11.6508
6.66113,	-11.8147
8.24962,	-11.6008
5.52674,	-12.0014
12.446,	-11.1896
7.82823,	-11.6533
8.5901,	-11.5604
9.66538,	-11.4425
10.1763,	-11.391
8.09382,	-11.6199
7.11171,	-11.7493
14.4462,	-11.0406
12.742,	-11.1661
8.67786,	-11.5502
10.2598,	-11.3828
6.81901,	-11.7913
7.84037,	-11.6517
7.5713,	-11.6867
11.1288,	-11.3015
8.34151,	-11.5898
13.0297,	-11.1438
4.63717,	-12.1769
7.05588,	-11.7572
6.72656,	-11.805
7.89868,	-11.6443
9.52198,	-11.4574
8.68118,	-11.5499
10.0257,	-11.4059
5.85235,	-11.9442
9.69389,	-11.4395
7.16526,	-11.7418
10.2397,	-11.3847
5.48126,	-12.0097
9.56778,	-11.4526
5.46913,	-12.0119
11.2504,	-11.2906
12.0025,	-11.2259
7.78373,	-11.659
7.47801,	-11.699
13.4393,	-11.1128
8.67438,	-11.5506
6.68504,	-11.8111
10.8995,	-11.3223
4.8517,	-12.1317
6.45385,	-11.8463
11.9622,	-11.2293
7.95836,	-11.6368
11.9544,	-11.2299
13.8386,	-11.0836
12.4047,	-11.1929
11.2712,	-11.2888
13.3423,	-11.1201
2.26288,	-12.8944
8.56072,	-11.5638
7.60666,	-11.682
7.20104,	-11.7368
8.02676,	-11.6282
6.3968,	-11.8552
11.5493,	-11.2644
7.56396,	-11.6876
10.1251,	-11.396
7.91591,	-11.6421
6.07801,	-11.9063
10.6475,	-11.3457
11.2476,	-11.2909
9.84815,	-11.4237
16.5392,	-10.9053
6.89206,	-11.7806
7.54439,	-11.6902
7.42775,	-11.7058
7.04581,	-11.7586
5.34965,	-12.034
13.8768,	-11.0808
14.462,	-11.0395
10.0175,	-11.4067
4.60434,	-12.184
10.6141,	-11.3488
10.906,	-11.3217
11.1565,	-11.299
7.78471,	-11.6589
11.0422,	-11.3093
7.28419,	-11.7253
9.23833,	-11.4877
9.23016,	-11.4885
9.80286,	-11.4283
9.69038,	-11.4399
8.75816,	-11.541
12.3987,	-11.1934
4.46181,	-12.2155
9.5132,	-11.4583
9.56736,	-11.4527
6.4542,	-11.8463
7.16077,	-11.7424
14.6037,	-11.0297
11.2615,	-11.2896
16.1862,	-10.9269
8.63815,	-11.5548
7.599,	-11.683
7.73309,	-11.6655
12.6004,	-11.1773
6.55139,	-11.8313
7.9625,	-11.6363
10.6874,	-11.342
8.2606,	-11.5995
12.2748,	-11.2035
8.2081,	-11.6059
6.37507,	-11.8586
5.31209,	-12.041
6.75265,	-11.8011
3.7616,	-12.3862
5.42093,	-12.0207
7.73605,	-11.6651
9.82561,	-11.426
13.964,	-11.0745
6.87442,	-11.7832
12.0679,	-11.2205
8.39055,	-11.5839
12.4665,	-11.188
7.54224,	-11.6905
10.0465,	-11.4038
11.4264,	-11.2751
6.33457,	-11.865
8.77938,	-11.5386
8.5817,	-11.5614
6.99178,	-11.7663
9.17558,	-11.4945
11.4074,	-11.2768
14.1767,	-11.0594
6.47645,	-11.8428
13.2078,	-11.1302
7.25598,	-11.7292
15.5646,	-10.966
4.53909,	-12.1983
10.111,	-11.3974
9.19489,	-11.4924
11.734,	-11.2485
6.62055,	-11.8208
8.95261,	-11.5191
12.8571,	-11.1571
11.2721,	-11.2887
4.90174,	-12.1214
7.71021,	-11.6685
6.10766,	-11.9015
8.40193,	-11.5826
8.45537,	-11.5762
9.47374,	-11.4625
9.30222,	-11.4808
8.70038,	-11.5476
12.0898,	-11.2187
5.54906,	-11.9974
9.77164,	-11.4315
9.73336,	-11.4355
9.40888,	-11.4694
7.19565,	-11.7375
7.27607,	-11.7264
12.814,	-11.1605
7.68063,	-11.6723
4.22669,	-12.2696
5.51396,	-12.0037
9.14445,	-11.4979
8.28288,	-11.5968
7.82375,	-11.6539
10.2799,	-11.3808
8.25836,	-11.5998
7.74446,	-11.664
10.1911,	-11.3895
7.86091,	-11.6491
12.9627,	-11.1489
7.1125,	-11.7492
13.7936,	-11.0868
5.77116,	-11.9581
6.66083,	-11.8148
10.3748,	-11.3716
11.8759,	-11.2365
9.4141,	-11.4688
6.95748,	-11.7712
12.2331,	-11.2069
8.05903,	-11.6242
6.87705,	-11.7828
8.73488,	-11.5437
6.84073,	-11.7881
10.1256,	-11.3959
12.7211,	-11.1678
6.15146,	-11.8943
10.3241,	-11.3765
14.3266,	-11.0489
12.9829,	-11.1474
8.69854,	-11.5479
12.3247,	-11.1994
11.1484,	-11.2997
9.30882,	-11.4801
13.8863,	-11.0801
5.27686,	-12.0477
8.30499,	-11.5942
9.14316,	-11.498
10.7516,	-11.336
10.6967,	-11.3411
10.1763,	-11.391
6.90104,	-11.7793
8.17318,	-11.6102
9.32443,	-11.4784
6.48795,	-11.8411
5.99354,	-11.9203
9.12792,	-11.4997
13.9652,	-11.0744
8.31351,	-11.5931
8.87647,	-11.5276
7.0371,	-11.7598
10.1279,	-11.3957
6.15709,	-11.8934
7.13522,	-11.746
8.8573,	-11.5298
8.96445,	-11.5177
11.5196,	-11.267
12.001,	-11.226
9.04253,	-11.5091
7.48,	-11.6988
14.5662,	-11.0323
12.3513,	-11.1973
8.57758,	-11.5619
6.24878,	-11.8786
7.88105,	-11.6466
10.9066,	-11.3216
6.85637,	-11.7858
7.51904,	-11.6936
10.1105,	-11.3974
6.72301,	-11.8055
6.86433,	-11.7847
5.53512,	-11.9999
7.36136,	-11.7148
16.1631,	-10.9283
7.85864,	-11.6494
11.7474,	-11.2474
11.1537,	-11.2992
9.83486,	-11.4251
2.86214,	-12.6594
7.11832,	-11.7483
6.13774,	-11.8966
8.99969,	-11.5138
7.83178,	-11.6528
11.328,	-11.2837
7.93876,	-11.6393
9.51705,	-11.4579
11.5685,	-11.2627
4.53971,	-12.1982
7.96353,	-11.6361
11.9906,	-11.2269
6.60067,	-11.8238
7.6403,	-11.6776
8.30485,	-11.5942
8.4791,	-11.5734
8.43897,	-11.5782
10.1034,	-11.3981
11.1682,	-11.2979
9.38408,	-11.472
5.60282,	-11.9877
6.8767,	-11.7829
8.08472,	-11.621
10.1021,	-11.3983
12.6066,	-11.1768
8.37695,	-11.5855
5.88297,	-11.939
6.03596,	-11.9133
6.86116,	-11.7851
4.434,	-12.2217
10.2856,	-11.3803
6.81151,	-11.7924
10.3243,	-11.3765
8.11544,	-11.6172
7.83637,	-11.6522
5.20774,	-12.0609
16.5978,	-10.9017
8.63754,	-11.5549
9.15514,	-11.4967
13.3777,	-11.1174
13.2885,	-11.1241
10.6089,	-11.3493
7.16444,	-11.7419
8.35955,	-11.5876
11.9994,	-11.2262
12.2063,	-11.2091
4.34775,	-12.2414
8.88043,	-11.5272
10.867,	-11.3253
13.2666,	-11.1258
7.35522,	-11.7156
4.3067,	-12.2508
9.33447,	-11.4773
5.53199,	-12.0005
12.6525,	-11.1732
9.59347,	-11.4499
10.0259,	-11.4058
3.56222,	-12.4406
5.88179,	-11.9392
9.91066,	-11.4174
11.2549,	-11.2902
14.294,	-11.0512
10.1605,	-11.3925
5.59635,	-11.9889
11.8039,	-11.2426
5.60036,	-11.9882
8.46248,	-11.5754
10.1842,	-11.3902
3.91571,	-12.346
7.38589,	-11.7114
7.15986,	-11.7425
9.41258,	-11.469
10.8238,	-11.3293
4.94708,	-12.1122
8.02245,	-11.6288
10.6958,	-11.3412
5.03793,	-12.094
10.9308,	-11.3194
9.00511,	-11.5132
12.3627,	-11.1963
9.96634,	-11.4118
17.6277,	-10.8415
3.42383,	-12.4803
7.80898,	-11.6557
7.08071,	-11.7536
4.30217,	-12.2519
8.21185,	-11.6054
4.41752,	-12.2254
9.51897,	-11.4577
14.3933,	-11.0443
8.92297,	-11.5224
11.0033,	-11.3128
7.1411,	-11.7451
7.02383,	-11.7617
10.5635,	-11.3536
2.91237,	-12.6421
4.49434,	-12.2082
9.30249,	-11.4807
6.52375,	-11.8356
8.88134,	-11.5271
7.64147,	-11.6774
8.28253,	-11.5969
13.3387,	-11.1203
13.3261,	-11.1213
7.04288,	-11.759
7.71248,	-11.6682
16.7276,	-10.894
8.53828,	-11.5665
9.47177,	-11.4627
8.38352,	-11.5847
8.25902,	-11.5997
9.8206,	-11.4265
7.93837,	-11.6393
8.5586,	-11.5641
8.36113,	-11.5874
11.3418,	-11.2825
6.83926,	-11.7883
9.07993,	-11.5049
8.24715,	-11.6011
6.65212,	-11.8161
15.0457,	-10.9999
10.3385,	-11.3751
6.32874,	-11.8659
7.09027,	-11.7523
5.19589,	-12.0631
7.18095,	-11.7396
11.6136,	-11.2588
8.27178,	-11.5982
3.96545,	-12.3334
9.02838,	-11.5106
8.66841,	-11.5513
7.0935,	-11.7518
8.05534,	-11.6247
6.52441,	-11.8355
16.0126,	-10.9376
4.62828,	-12.1788
6.98613,	-11.7671
12.1451,	-11.2141
8.90767,	-11.5241
11.1938,	-11.2957
5.20894,	-12.0606
14.5009,	-11.0368
19.2624,	-10.7529
9.89659,	-11.4188
7.70218,	-11.6695
11.5292,	-11.2661
12.1044,	-11.2174
7.80369,	-11.6564
10.6409,	-11.3463
13.1253,	-11.1365
14.8575,	-11.0125
7.35099,	-11.7162
8.41379,	-11.5811
11.3807,	-11.2791
8.53707,	-11.5666
8.68,	-11.55
7.57983,	-11.6855
8.67028,	-11.5511
5.81294,	-11.9509
9.14474,	-11.4978
9.38446,	-11.472
10.1021,	-11.3983
12.275,	-11.2035
9.08238,	-11.5047
9.46265,	-11.4637
7.92737,	-11.6407
6.95913,	-11.771
8.66128,	-11.5522
12.4234,	-11.1914
12.149,	-11.2138
10.3867,	-11.3705
10.6114,	-11.3491
8.3375,	-11.5903
11.3464,	-11.2821
4.7002,	-12.1634
21.8452,	-10.627
8.56975,	-11.5628
8.47777,	-11.5736
9.82263,	-11.4263
13.8961,	-11.0794
11.4763,	-11.2707
9.90423,	-11.4181
6.17615,	-11.8903
7.20537,	-11.7362
10.2665,	-11.3821
9.05273,	-11.5079
13.7857,	-11.0874
7.7203,	-11.6672
10.6782,	-11.3428
8.83015,	-11.5328
8.04232,	-11.6263
13.4124,	-11.1148
14.0918,	-11.0654
8.66286,	-11.552
11.3266,	-11.2839
9.42858,	-11.4673
11.6736,	-11.2537
4.18588,	-12.2793
6.98827,	-11.7668
6.2737,	-11.8746
6.91613,	-11.7772
11.3959,	-11.2778
9.03375,	-11.51
9.72493,	-11.4363
14.6608,	-11.0258
12.9931,	-11.1466
8.80814,	-11.5353
5.89316,	-11.9372
8.9529,	-11.519
7.80832,	-11.6558
5.90621,	-11.935
9.80765,	-11.4279
5.46328,	-12.013
10.2959,	-11.3793
8.01979,	-11.6291
11.8236,	-11.2409
12.8711,	-11.156
10.5491,	-11.355
14.6729,	-11.025
8.74703,	-11.5423
8.45192,	-11.5766
5.50322,	-12.0057
8.14978,	-11.613
15.121,	-10.9949
6.55202,	-11.8312
6.42624,	-11.8506
12.514,	-11.1842
7.48491,	-11.6981
9.67069,	-11.4419
8.80069,	-11.5362
9.34509,	-11.4762
12.5352,	-11.1825
7.69054,	-11.671
8.30298,	-11.5944
8.12245,	-11.6164
6.82162,	-11.7909
7.55753,	-11.6885
4.1194,	-12.2953
8.38933,	-11.5841
10.2351,	-11.3852
8.41161,	-11.5814
15.3506,	-10.9799
10.5029,	-11.3594
7.23777,	-11.7317
12.1723,	-11.2118
6.61144,	-11.8222
6.42078,	-11.8515
7.21281,	-11.7352
13.4076,	-11.1152
16.6282,	-10.8999
6.60025,	-11.8239
14.8342,	-11.0141
11.6472,	-11.2559
8.14929,	-11.6131
11.1453,	-11.3
5.70387,	-11.9699
9.19347,	-11.4925
8.29928,	-11.5948
6.19139,	-11.8879
8.14001,	-11.6142
8.66985,	-11.5512
8.85069,	-11.5305
6.43877,	-11.8487
7.81253,	-11.6553
4.96836,	-12.1079
8.13103,	-11.6153
6.69775,	-11.8092
9.64097,	-11.445
8.06791,	-11.6231
10.966,	-11.3162
8.82754,	-11.5331
7.08158,	-11.7535
12.7414,	-11.1662
7.84112,	-11.6516
11.5804,	-11.2617
10.524,	-11.3574
16.0515,	-10.9352
11.8704,	-11.237
11.5337,	-11.2657
11.6762,	-11.2535
10.7339,	-11.3376
9.82846,	-11.4257
6.47327,	-11.8433
4.88002,	-12.1259
8.22931,	-11.6033
12.0577,	-11.2213
9.76424,	-11.4323
9.38453,	-11.472
8.56234,	-11.5636
9.31594,	-11.4793
6.46281,	-11.845
7.52437,	-11.6929
7.61577,	-11.6808
10.8855,	-11.3236
6.96259,	-11.7705
5.45414,	-12.0146
6.66632,	-11.8139
7.63257,	-11.6786
8.7243,	-11.5449
10.9906,	-11.314
8.65675,	-11.5527
9.56709,	-11.4527
11.7867,	-11.244
10.7951,	-11.3319
10.0505,	-11.4034
9.0909,	-11.5037
8.84192,	-11.5315
5.04144,	-12.0933
13.0424,	-11.1428
10.1581,	-11.3927
9.96012,	-11.4124
11.3398,	-11.2827
5.39529,	-12.0255
10.8332,	-11.3284
5.91983,	-11.9327
3.79199,	-12.3781
9.02523,	-11.511
11.4137,	-11.2762
7.88939,	-11.6455
6.34333,	-11.8636
7.12549,	-11.7473
16.6513,	-10.8985
5.2417,	-12.0544
8.05205,	-11.6251
9.59427,	-11.4499
5.95201,	-11.9273
7.59814,	-11.6831
5.77269,	-11.9579
7.82291,	-11.654
8.943,	-11.5201
7.26926,	-11.7274
11.094,	-11.3046
10.1071,	-11.3978
10.4839,	-11.3612
6.93297,	-11.7747
8.28637,	-11.5964
9.37204,	-11.4733
5.94734,	-11.9281
12.2819,	-11.2029
11.1095,	-11.3032
7.54756,	-11.6898
9.93741,	-11.4147
6.79946,	-11.7942
4.17876,	-12.281
9.13595,	-11.4988
7.74274,	-11.6643
11.676,	-11.2535
4.62556,	-12.1794
6.80642,	-11.7932
5.15322,	-12.0714
8.52779,	-11.5677
4.87727,	-12.1264
9.81078,	-11.4275
10.7921,	-11.3322
5.83816,	-11.9466
10.8157,	-11.33
5.45933,	-12.0137
6.59908,	-11.8241
13.7757,	-11.0881
10.9606,	-11.3167
11.3018,	-11.2861
9.00097,	-11.5137
11.2146,	-11.2938
7.60531,	-11.6822
10.1688,	-11.3917
7.28609,	-11.725
5.3817,	-12.028
5.55732,	-11.9959
10.1671,	-11.3919
14.3628,	-11.0464
8.95883,	-11.5184
10.4728,	-11.3622
9.34123,	-11.4766
10.738,	-11.3372
10.8364,	-11.3281
11.2437,	-11.2912
11.4669,	-11.2716
8.02029,	-11.629
6.35484,	-11.8618
12.4661,	-11.188
12.2136,	-11.2085
9.34459,	-11.4762
8.47185,	-11.5743
6.1108,	-11.901
8.25898,	-11.5997
10.2679,	-11.382
8.68995,	-11.5488
3.34112,	-12.5047
6.15798,	-11.8933
5.57368,	-11.993
8.82186,	-11.5338
14.3568,	-11.0468
12.6884,	-11.1703
6.19949,	-11.8865
14.3701,	-11.0459
12.9614,	-11.149
9.14435,	-11.4979
9.04707,	-11.5086
13.1388,	-11.1354
7.34727,	-11.7167
11.3283,	-11.2837
9.43813,	-11.4663
9.67341,	-11.4416
12.1583,	-11.213
7.22745,	-11.7331
14.4868,	-11.0378
12.9684,	-11.1485
8.51371,	-11.5693
13.7123,	-11.0927
5.44,	-12.0172
7.99085,	-11.6327
10.5702,	-11.353
14.7827,	-11.0176
6.96816,	-11.7697
8.18617,	-11.6086
12.0225,	-11.2242
11.3995,	-11.2774
5.90398,	-11.9354
8.89308,	-11.5257
5.99877,	-11.9195
7.08673,	-11.7528
10.2733,	-11.3815
13.3704,	-11.118
6.22326,	-11.8827
6.71977,	-11.806
4.44996,	-12.2181
5.97226,	-11.9239
9.26574,	-11.4847
6.64281,	-11.8175
13.9666,	-11.0743
7.76401,	-11.6615
6.61467,	-11.8217
12.1513,	-11.2136
15.9741,	-10.94
9.78177,	-11.4305
9.20269,	-11.4915
2.72135,	-12.7099
7.52052,	-11.6934
10.9512,	-11.3176
6.76998,	-11.7985
16.054,	-10.9351
6.28149,	-11.8734
9.45059,	-11.4649
6.70302,	-11.8085
5.68614,	-11.973
10.6628,	-11.3443
8.87808,	-11.5274
3.95027,	-12.3372
17.0569,	-10.8745
5.65352,	-11.9787
6.68171,	-11.8116
8.12885,	-11.6156
14.3118,	-11.0499
10.9822,	-11.3147
5.86885,	-11.9414
8.76425,	-11.5403
9.9302,	-11.4154
6.66844,	-11.8136
6.68645,	-11.8109
7.53431,	-11.6915
6.37523,	-11.8586
12.0103,	-11.2252
5.00101,	-12.1014
8.85654,	-11.5299
11.341,	-11.2826
11.475,	-11.2708
5.82152,	-11.9495
11.0293,	-11.3105
7.30882,	-11.7219
10.233,	-11.3854
8.30839,	-11.5938
5.97604,	-11.9233
6.30331,	-11.8699
7.54383,	-11.6903
8.52636,	-11.5679
12.0496,	-11.222
10.1044,	-11.398
9.22964,	-11.4886
4.46977,	-12.2137
11.4515,	-11.2729
3.38911,	-12.4904
11.3157,	-11.2848
4.93911,	-12.1138
5.86162,	-11.9426
5.74684,	-11.9624
9.40936,	-11.4693
10.3685,	-11.3722
11.4625,	-11.2719
8.06605,	-11.6234
11.8742,	-11.2366
6.11778,	-11.8998
9.07523,	-11.5055
8.71668,	-11.5458
11.663,	-11.2546
10.2435,	-11.3844
5.50314,	-12.0057
11.2927,	-11.2869
12.4498,	-11.1893
10.1995,	-11.3887
8.58456,	-11.5611
7.16888,	-11.7413
12.623,	-11.1755
9.4202,	-11.4682
7.64427,	-11.6771
8.54324,	-11.5659
6.31148,	-11.8686
13.9832,	-11.0732
14.4864,	-11.0378
3.45868,	-12.4701
10.6174,	-11.3485
11.398,	-11.2776
4.18448,	-12.2796
12.4163,	-11.192
10.8794,	-11.3241
4.99811,	-12.102
9.91665,	-11.4168
9.93893,	-11.4146
7.54301,	-11.6904
6.20036,	-11.8864
5.96907,	-11.9244
9.16752,	-11.4953
9.93811,	-11.4146
8.67386,	-11.5507
11.644,	-11.2562
9.98687,	-11.4097
9.63048,	-11.4461
8.88675,	-11.5265
7.21746,	-11.7345
4.82587,	-12.137
8.88715,	-11.5264
4.62038,	-12.1805
9.70862,	-11.438
6.42544,	-11.8508
7.17381,	-11.7406
7.75235,	-11.663
7.93407,	-11.6398
8.00945,	-11.6304
9.30201,	-11.4808
8.47892,	-11.5734
5.11735,	-12.0784
8.41663,	-11.5808
4.94804,	-12.112
4.39121,	-12.2314
8.58711,	-11.5608
13.0333,	-11.1435
9.87439,	-11.4211
6.49228,	-11.8404
7.9334,	-11.6399
9.11211,	-11.5014
15.5191,	-10.9689
7.34453,	-11.7171
6.66178,	-11.8146
5.68558,	-11.9731
7.28745,	-11.7249
5.14504,	-12.073
6.7195,	-11.806
8.11309,	-11.6175
15.8494,	-10.9479
6.80367,	-11.7936
6.40016,	-11.8547
9.2675,	-11.4845
8.14783,	-11.6133
8.16516,	-11.6111
6.6106,	-11.8223
6.21286,	-11.8844
11.9899,	-11.227
3.29098,	-12.5198
8.40784,	-11.5819
3.09189,	-12.5822
7.62326,	-11.6798
9.08564,	-11.5043
9.58291,	-11.451
6.8546,	-11.7861
6.928,	-11.7754
8.5612,	-11.5638
9.14731,	-11.4976
7.87258,	-11.6476
4.96602,	-12.1084
12.8467,	-11.1579
10.8936,	-11.3228
13.4999,	-11.1083
6.27635,	-11.8742
7.41655,	-11.7073
9.05989,	-11.5072
6.23665,	-11.8806
6.19929,	-11.8866
5.77838,	-11.9569
10.0092,	-11.4075
5.59563,	-11.989
12.4108,	-11.1925
8.57087,	-11.5626
8.59243,	-11.5601
10.8427,	-11.3275
9.61679,	-11.4475
14.6097,	-11.0293
12.5091,	-11.1846
8.00191,	-11.6313
12.4146,	-11.1921
13.7235,	-11.0919
10.718,	-11.3391
6.13665,	-11.8967
9.96971,	-11.4115
7.58884,	-11.6843
9.02138,	-11.5114
13.4337,	-11.1133
5.77798,	-11.957
7.54241,	-11.6905
5.95395,	-11.927
6.19331,	-11.8875
12.3463,	-11.1977
3.84261,	-12.3649
11.6786,	-11.2533
6.06539,	-11.9084
5.34603,	-12.0347
9.8625,	-11.4223
6.94149,	-11.7735
10.8621,	-11.3257
10.7175,	-11.3391
9.4296,	-11.4672
12.2335,	-11.2068
8.42481,	-11.5798
10.8945,	-11.3228
9.11135,	-11.5015
12.7591,	-11.1648
6.15607,	-11.8936
6.5489,	-11.8317
6.23752,	-11.8804
7.62014,	-11.6802
9.5084,	-11.4588
8.43821,	-11.5782
10.3268,	-11.3763
6.38448,	-11.8571
6.31686,	-11.8678
12.1514,	-11.2136
10.841,	-11.3277
12.2691,	-11.2039
11.0647,	-11.3073
14.0227,	-11.0703
7.3551,	-11.7156
8.07567,	-11.6222
5.51742,	-12.0031
9.1086,	-11.5018
7.8334,	-11.6526
12.1514,	-11.2136
10.8561,	-11.3263
12.8088,	-11.1609
7.20782,	-11.7358
14.7554,	-11.0194
6.16221,	-11.8926
15.5734,	-10.9655
15.6146,	-10.9628
13.3246,	-11.1214
7.53465,	-11.6915
9.54694,	-11.4548
6.99695,	-11.7655
10.7497,	-11.3361
10.4315,	-11.3662
11.0571,	-11.3079
10.9558,	-11.3172
9.96864,	-11.4116
4.55073,	-12.1957
5.32151,	-12.0393
5.34592,	-12.0347
6.71393,	-11.8068
9.85751,	-11.4228
12.6641,	-11.1722
9.94411,	-11.414
6.01358,	-11.917
6.71767,	-11.8063
9.71939,	-11.4369
16.1456,	-10.9294
9.99327,	-11.4091
9.1098,	-11.5017
8.77129,	-11.5395
5.76701,	-11.9589
12.4624,	-11.1883
11.2816,	-11.2878
9.75642,	-11.4331
9.12873,	-11.4996
6.06365,	-11.9087
14.1784,	-11.0593
7.1665,	-11.7416
6.652,	-11.8161
9.37036,	-11.4735
11.5095,	-11.2678
16.9381,	-10.8814
7.33761,	-11.718
8.25887,	-11.5997
11.9021,	-11.2343
9.66095,	-11.4429
8.69854,	-11.5479
6.89791,	-11.7798
11.1939,	-11.2956
6.54669,	-11.8321
6.64906,	-11.8165
10.6367,	-11.3467
14.5087,	-11.0363
5.81519,	-11.9505
16.2454,	-10.9232
10.6029,	-11.3499
7.71895,	-11.6673
12.2383,	-11.2064
7.23688,	-11.7318
6.38364,	-11.8573
7.76291,	-11.6617
11.1031,	-11.3038
10.6102,	-11.3492
5.55845,	-11.9957
15.054,	-10.9994
9.97197,	-11.4112
12.1441,	-11.2142
11.1122,	-11.303
8.60099,	-11.5591
12.5849,	-11.1785
9.20052,	-11.4918
12.9253,	-11.1518
9.77885,	-11.4308
4.16486,	-12.2843
9.44044,	-11.466
5.26173,	-12.0506
9.09987,	-11.5028
9.93551,	-11.4149
7.39764,	-11.7099
12.0989,	-11.2179
3.97328,	-12.3314
10.0979,	-11.3987
5.68966,	-11.9724
7.67023,	-11.6737
7.43541,	-11.7048
7.84274,	-11.6514
4.07679,	-12.3057
7.96783,	-11.6356
12.488,	-11.1862
9.06657,	-11.5064
12.6218,	-11.1756
10.9294,	-11.3196
7.71641,	-11.6677
3.48761,	-12.4618
8.29778,	-11.595
8.49389,	-11.5717
14.5498,	-11.0334
11.1306,	-11.3013
7.49705,	-11.6965
5.9448,	-11.9285
6.4129,	-11.8527
9.31222,	-11.4797
8.17693,	-11.6097
11.1947,	-11.2956
7.66397,	-11.6745
8.88374,	-11.5268
7.80468,	-11.6563
11.0718,	-11.3066
